section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,Masters of Program Evaluation and Data Analytics ,Arizona State University,"Tempe, AZ",2020,2022,"Analysts in this field select, cleanse, organize, inspect and model data to reach actionable conclusions",Emphasizes skills needed to leverage data to improve organizational performance,NA
education,TRUE,BSC of Software Engineering with Multimedia ,Limkokwing Creative Technology ,"Cyperjaya, MY",2013,2017,"Apply theoretical knowledge to design, develop, analyze, and test high quality software systems","Logical analysis, problem-solving and how teamwork builds complex systems",NA
research_positions,FALSE,Data analysis,NA,NA,NA,NA,"Interpret data, analyze results using statistical techniques and provide ongoing reports","Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality","Identify, analyze, and interpret trends or patterns in complex data sets Filter and clean data by reviewing computer reports, Work with management to prioritize business and information needs"
research_positions,FALSE,Web and database applications ,NA,NA,NA,NA,"Bootstrap, Dreamweaver cross-browser compatibility, Web User Interface Design (UI), cross-browser compatibility","Web Server Services & Hosting , Cpanel Control , Data Analysis and Visualization using D3.js , SQL Vulnerability testing attacks",Building  Ecommerce Websites to empower businesses to reach new markets and gain resilience by selling their products
research_positions,FALSE,Digital Marketing ,NA,NA,NA,NA,"Content Marketing, Social Media, SEO, Marketing Automation, E-commerce , Email campaigns , setting up smart shopping ads , youtube ads ,Google Merchanet setup , search ads , google ads )",,
research_positions,FALSE,Presentation & Design Applications Adobe & Office suites ,NA,NA,NA,NA,"Photoshop, illustrator, Maya, Vegas Pro, Excel professional, Spreadsheets, TeamViewer, Prezi, Microsoft teams","Google Analytics to measure your advertising ROI as well as track your Flash, video, and social networking sites and applications",R Shiny Apps by building and deploying interactive data visualizations using R and information needs
research_positions,FALSE,Software Design & Integration ,NA,NA,NA,NA,"Design UML Diagrams, Software Beta Testing APIs Integration, smart automation Using IoT platforms",Led development and implementation of interactive data visualizations to help users compare themselves to other demographics.,NA
research_positions,FALSE,Hardware,NA,NA,NA,NA,"Ruptela + GLP GPS Tracking Units, Surveillance MDVRs HikVision , StreamMax , Dahua Configurations + Integrations, Calibration of ADAS Cameras , DSM Cameras ","Arduino Microcontrollers Configuration , Sensors  Configuration . , Troubleshooting all Hardwares ",NA
industry_positions,FALSE,E-commerce Project Manager,Zas Group ,"Dubai, UAE",2020,2022,"E-commerce Development and Building customer data database to be used for marketing purposes , Expert in online sales strategies and the various platforms used to conduct digital sales or conversions on a website.","Execute ad campaigns on search engines and other websites and research and implement the latest digital marketing strategies using social media , Handeling Media Marketing, PPC, Email Marketing, SEO, Keyword Research, Google Analytics, Website UX, and Paid Social Media"," Analyzing trends in customer purchases, and evaluating changes in the online retail market , responsible for leading the development efforts on new implementations, site enhancements, ,configure, design, and develop solutions"
industry_positions,FALSE,System Analyst + Project Manager,QAT GPS SYSTEMS,"Dubai, UAE",2019,2020,"Improve systems by studying current practices, designing modifications  , Analysing all the system Data Ensuring Up to Date details updated ,Testing new Software functions releases, ensuring bugs is resolved, requested enhancements is met.","Managing Surveillance + Tracking systems installations, Configurations, Integrations for Emirates Transport project with more than 20000 Objects + another Etisalat Projects software/Application related issues","Constructing workflow charts and diagrams + studying system capabilities; writing specifications , Recommend controls by identifying problems, writing improved procedures SOPs"
